        train_loss      train_acc       valid_loss      valid_acc
100:      1.94            0.2459                  1.66            0.3774
200:      1.75            0.3438                  1.53            0.4285
300:      1.63            0.3968                  1.45            0.4646
400:      1.54            0.4360                  1.39            0.4889
500:      1.48            0.4589                  1.35            0.5030
600:      1.43            0.4799                  1.32            0.5110
700:      1.38            0.5004                  1.29            0.5262
800:      1.34            0.5145                  1.27            0.5360
900:      1.32            0.5256                  1.25            0.5388
1000:     1.29            0.5357                  1.23            0.5475
1100:     1.26            0.5472                  1.22            0.5532
1200:     1.24            0.5558                  1.20            0.5599
1300:     1.21            0.5662                  1.19            0.5650
1400:     1.19            0.5757                  1.18            0.5700
1500:     1.17            0.5825                  1.16            0.5754
1600:     1.15            0.5909                  1.15            0.5803
1700:     1.13            0.5974                  1.14            0.5836
1800:     1.11            0.6042                  1.13            0.5882
1900:     1.10            0.6098                  1.12            0.5914
2000:     1.08            0.6167                  1.11            0.5961
2100:     1.07            0.6218                  1.10            0.5997
2200:     1.05            0.6269                  1.09            0.6022
2300:     1.04            0.6320                  1.09            0.6050
2400:     1.02            0.6373                  1.08            0.6076
2500:     1.01            0.6426                  1.07            0.6103
2600:     1.00            0.6472                  1.07            0.6122
2700:     0.99            0.6522                  1.07            0.6135
2800:     0.97            0.6568                  1.06            0.6158
2900:     0.96            0.6615                  1.06            0.6171
3000:     0.95            0.6652                  1.06            0.6192
3100:     0.94            0.6693                  1.05            0.6211
3200:     0.93            0.6735                  1.05            0.6230
3300:     0.92            0.6775                  1.05            0.6249
3400:     0.90            0.6817                  1.04            0.6268
3500:     0.89            0.6856                  1.04            0.6277
3600:     0.88            0.6897                  1.04            0.6288
3700:     0.87            0.6934                  1.04            0.6306
3800:     0.86            0.6973                  1.04            0.6324
3900:     0.85            0.7006                  1.03            0.6340
4000:     0.84            0.7041                  1.03            0.6357
4100:     0.83            0.7079                  1.03            0.6372
4200:     0.82            0.7114                  1.03            0.6386
4300:     0.82            0.7144                  1.03            0.6401
4400:     0.81            0.7178                  1.02            0.6415
4500:     0.80            0.7209                  1.02            0.6428
4600:     0.79            0.7243                  1.02            0.6439
4700:     0.78            0.7273                  1.02            0.6448
4800:     0.77            0.7303                  1.02            0.6461
4900:     0.76            0.7333                  1.02            0.6472
